GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "08000","Colorado",7,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1363,1359,1455,1698,1755,1697,1690,1784,1854,2006,2039,2139,2184,2255,2314,2377,2520,2664,2812,2951,3137,3409,3800,4160,4452,4923,5396,5939,6385,6904,7733,8549,9589,10714,11429,12353,13361,13954,14421,14800,15693,16715,17471,18121,19077,19922,20733,21930,22924,23881,25667,26919,29054,30155,30526,31192,32026,33408,35141,36538,37308,35961,36377,38484,40420,41578,44493,45521,45492,48341,51405
 "09000","Connecticut",1,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",3131.8,3123.2,3486.6,3907.2,4202.8,4594.0,4743.7,5123.0,5565.1,5963.8,5773.1,6155.8,6357.5,6754.7,7205.5,7572.6,8289.2,8855.3,9647.0,10492.9,10935.5,12432.9,13628.4,14585.5,15501.7,16993.4,18527.8,20196.4,21522.0,23715.1,26123.7,29129.2,32976.3,36882.3,39776.5,43638.5,49086.2,52239.5,55882.4,60377.6,67440.2,73218.8,75737.8,76621.2,81411.4,83714.1,86079.0,90231.0,92971.5,97775.1,104548.1,110054.0,119453.0,126503.8,132151.2,135623.3,142680.5,148156.0,159489.2,169503.1,182832.9,187794.8,194372.9,197013.3,200546.8,191813.7,200988.8,205497.6,211462.6,217681.4,232448.2
 "09000","Connecticut",1,SAINC51,52,"...","Population (persons) 1/","Number of persons",2014000,2032000,2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665
 "09000","Connecticut",1,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1555,1537,1729,1927,2020,2119,2109,2227,2403,2528,2360,2440,2499,2612,2722,2777,2963,3100,3323,3575,3689,4144,4485,4764,5050,5537,6024,6547,6974,7678,8441,9397,10593,11788,12672,13799,15436,16319,17335,18593,20612,22300,23007,23198,24665,25298,25958,27144,27863,29192,31066,32499,35012,36851,38208,38924,40811,42246,45342,48055,51566,52725,54307,54909,55794,53357,55911,57281,59090,60909,65063
 "10000","Delaware",2,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",434.1,480.3,552.3,593.0,631.0,679.6,712.5,809.8,955.8,956.9,997.8,1033.3,1083.8,1125.5,1181.1,1278.7,1386.1,1523.1,1610.7,1726.7,1870.6,2026.4,2173.2,2401.0,2630.4,2906.7,3156.1,3443.1,3709.4,3997.9,4387.8,4780.3,5370.8,5881.3,6417.1,6920.5,7686.9,8340.0,8856.7,9621.7,10594.4,11762.6,12389.0,13233.6,13832.4,14346.2,14872.1,15751.4,16713.0,17287.5,19193.1,20722.8,23052.7,25579.0,27043.1,27884.3,28942.2,29308.1,31019.1,31906.7,31596.1,32836.8,33167.0,35520.8,36060.2,36370.5,38154.3,39994.9,40761.1,42479.0,44882.6
 "10000","Delaware",2,SAINC51,52,"...","Population (persons) 1/","Number of persons",312000,316000,321000,331000,341000,351000,368000,389000,408000,426000,433000,441000,449000,461000,469000,483000,497000,507000,516000,525000,534000,540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899595,907316,915188,923638,932596,941413,949216,957078,967171
 "10000","Delaware",2,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1391,1520,1721,1791,1850,1936,1936,2082,2343,2246,2304,2343,2414,2441,2518,2647,2789,3004,3122,3289,3503,3753,3949,4248,4584,5020,5412,5848,6258,6721,7335,7983,9028,9868,10710,11430,12569,13489,14113,15106,16359,17869,18503,19373,19905,20310,20726,21585,22555,23004,25144,26739,29315,32147,33545,34088,34836,34678,36099,36601,35747,36824,36869,39149,39402,39377,40912,42484,42942,44384,46406
 "11000","District of Columbia",2,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",1627.2,1682.9,1787.4,1838.3,1890.4,1869.0,1855.2,1831.9,1926.5,1994.9,2021.8,2054.1,2067.1,2208.1,2366.0,2532.8,2727.0,2953.8,3053.4,3290.0,3445.7,3268.0,3648.3,4114.8,4442.4,4667.5,5074.1,5542.6,5784.2,6265.9,6619.9,6871.6,7269.1,7708.6,8235.9,8745.9,9540.6,10083.8,10631.5,11120.2,12283.0,12985.6,13624.9,14404.1,15211.1,15893.8,16143.8,16273.8,16792.2,17377.0,18258.3,18974.7,20769.5,21564.4,22363.1,22685.7,24686.0,25799.7,27302.5,29054.0,30104.8,31236.7,33797.3,36205.7,37349.2,37664.9,40268.6,43129.0,45264.6,46699.4,49289.2
 "11000","District of Columbia",2,SAINC51,52,"...","Population (persons) 1/","Number of persons",840000,807000,806000,808000,805000,810000,791000,785000,759000,763000,757000,761000,765000,778000,788000,798000,798000,797000,791000,791000,778000,762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605085,619602,634725,650431,662513,675254,686575,695691,702455
 "11000","District of Columbia",2,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1937,2085,2218,2275,2348,2307,2345,2334,2538,2615,2671,2699,2702,2838,3003,3174,3417,3706,3860,4159,4429,4289,4832,5482,5973,6362,7040,7803,8307,9191,9880,10481,11389,12103,12987,13829,15063,15891,16657,17459,19483,20805,22509,23972,25455,26699,27398,28033,29338,30608,32302,33276,36307,37536,39017,39904,43480,45491,47842,50581,51884,52744,55855,58434,58843,57908,60782,63871,65928,67127,70167
