GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "19000","Iowa",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1310597,1408045,1535636,1583458,1717923,1875755,2041554,2223795,2428531,2569524,2777676,2853131,2921643,3021919,3172618,3249904,3356652,3682804,3841778,3757919,3888793,4156375,4356556,4448045,4570133,4667626,4754248,5079871,5257003
 "19000","Iowa",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",991290,1034633,1124426,1182360,1295107,1391840,1512417,1619958,1733882,1773890,1896965,1948263,1978962,2049957,2183811,2343398,2515724,2603851,2692553,2608340,2701446,2850381,3127105,3237568,3522367,3674603,3706358,3649034,3839222
 "19000","Iowa",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",319307,373412,411210,401098,422816,483915,529137,603837,694649,795634,880711,904868,942681,971962,988807,906506,840928,1078953,1149225,1149579,1187347,1305994,1229451,1210477,1047766,993023,1047890,1430837,1417781
 "20000","Kansas",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",3013041,3099462,3355887,3570904,3705673,3953141,4121228,4348717,4616277,4914699,5324747,5465936,5629627,5758965,6000875,6374037,6835595,7142417,7488963,7388990,7519734,7428594,8092795,7972971,8184899,8586608,8818060,9276673,9563360
 "20000","Kansas",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",2045247,2152725,2329168,2455501,2639966,2795703,2974241,3304454,3551802,3896413,4203477,4332723,4432060,4589874,4882512,5113951,5467503,5888870,6075512,5694828,5845544,6189998,6452771,6606231,6997125,7424207,7464935,7703893,8026042
 "20000","Kansas",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",967794,946737,1026719,1115403,1065707,1157438,1146987,1044263,1064475,1018286,1121270,1133213,1197567,1169091,1118363,1260086,1368092,1253547,1413451,1694162,1674190,1238596,1640024,1366740,1187774,1162401,1353125,1572780,1537318
 "21000","Kentucky",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2570633,2715834,2910757,3035456,3223753,3378465,3589719,3837360,4154713,4453221,4762850,4936321,5095291,5271653,5509809,5732830,6038941,6276324,6461842,6186362,6330270,6692271,7003772,7025285,7317186,7463146,7671694,7939406,8261337
 "21000","Kentucky",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",2602320,2753786,3165628,3280689,3551830,3708645,3903726,4152368,4342233,4725016,5057450,5379786,5605052,6007534,6437298,7045647,7398769,7778138,8254701,8041407,8470960,9036386,9401007,9066332,9291287,9503141,9615919,10172098,10760613
 "21000","Kentucky",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-31687,-37952,-254871,-245233,-328077,-330180,-314007,-315008,-187520,-271795,-294600,-443465,-509761,-735881,-927489,-1312817,-1359828,-1501814,-1792859,-1855045,-2140690,-2344115,-2397235,-2041047,-1974101,-2039995,-1944225,-2232692,-2499276
 "22000","Louisiana",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",562904,589768,621374,641695,674885,693841,715340,773133,829322,880079,925687,971717,1001243,1023020,1073060,1164372,1298671,1435206,1574941,1551212,1614782,1795886,1988057,2066725,2206715,2213205,2073548,2078778,2206029
